ID_Cliente,ID_Produto,Nota,Data_Avaliacao,Comentario
99,24,3,2022-11-26,Ruim
26,16,4,2023-04-22,Excelente
8,17,2,2023-03-29,Péssimo
100,26,1,2023-03-29,Regular
94,27,5,2023-11-23,Ruim
87,5,3,2022-08-07,Ruim
42,4,2,2023-06-08,Péssimo
44,18,4,2023-04-30,Bom
14,24,4,2024-03-23,Regular
78,19,4,2024-07-11,Ruim
2,4,3,2024-09-09,Regular
37,28,3,2024-03-26,Ruim
69,7,3,2024-01-24,Regular
38,10,2,2022-06-23,Excelente
41,25,4,2023-11-06,Ruim
62,18,5,2022-03-28,Regular
60,19,5,2022-10-18,Bom
14,4,5,2023-06-12,Excelente
89,10,4,2023-11-11,Excelente
84,1,4,2023-10-11,Bom
2,23,3,2023-09-27,Regular
70,18,4,2022-12-10,Péssimo
17,5,4,2022-04-06,Bom
89,15,2,2024-04-18,Regular
28,17,3,2024-09-01,Bom
66,3,5,2024-02-09,Bom
35,12,3,2022-08-29,Ruim
5,2,2,2023-11-20,Regular
65,1,4,2022-11-14,Péssimo
40,23,5,2022-08-19,Ruim
76,21,4,2024-04-05,Bom
56,17,4,2022-07-23,Bom
36,22,2,2022-05-31,Bom
45,16,4,2022-01-26,Regular
23,5,3,2022-02-17,Regular
47,15,5,2022-09-08,Ruim
31,3,4,2023-05-02,Péssimo
11,28,2,2023-09-18,Ruim
10,7,1,2024-05-20,Excelente
67,11,1,2024-02-26,Bom
14,10,3,2022-03-16,Bom
80,9,3,2023-04-12,Bom
74,14,4,2023-03-01,Ruim
93,13,4,2024-06-26,Ruim
10,29,3,2023-10-07,Bom
76,25,2,2023-08-13,Ruim
94,30,2,2022-07-19,Regular
1,25,5,2024-01-06,Regular
5,2,3,2023-12-15,Ruim
20,3,4,2023-01-29,Bom
8,7,5,2023-05-22,Ruim
43,21,4,2023-02-14,Ruim
76,18,0,2022-09-07,Ruim
1,3,3,2022-06-01,Excelente
57,10,5,2023-11-03,Regular
64,22,2,2023-12-06,Péssimo
84,29,2,2022-01-06,Péssimo
28,7,4,2024-07-03,Excelente
37,9,5,2024-02-08,Ruim
47,17,5,2024-05-31,Excelente
76,11,1,2024-02-28,Excelente
37,7,0,2024-06-25,Bom
49,24,5,2022-04-20,Regular
44,28,3,2024-03-08,Péssimo
56,14,5,2023-03-12,Ruim
28,19,5,2022-08-13,Péssimo
79,4,4,2022-06-30,Péssimo
6,26,3,2024-04-03,Regular
61,6,4,2024-09-07,Péssimo
20,10,3,2023-12-14,Péssimo
78,7,5,2023-06-15,Excelente
